"GEO_ID","NAME","B01001_001E","B01001_002E","B01001_003E","B01001_004E","B01001_005E","B01001_006E","B01001_007E","B01001_008E","B01001_009E","B01001_010E","B01001_011E","B01001_012E","B01001_013E","B01001_014E","B01001_015E","B01001_016E","B01001_017E","B01001_018E","B01001_019E","B01001_020E","B01001_021E","B01001_022E","B01001_023E","B01001_024E","B01001_025E","B01001_026E","B01001_027E","B01001_028E","B01001_029E","B01001_030E","B01001_031E","B01001_032E","B01001_033E","B01001_034E","B01001_035E","B01001_036E","B01001_037E","B01001_038E","B01001_039E","B01001_040E","B01001_041E","B01001_042E","B01001_043E","B01001_044E","B01001_045E","B01001_046E","B01001_047E","B01001_048E","B01001_049E"
"Geography","NAME","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"1500000US110010050022","Block Group 2, Census Tract 50.02, District of Columbia, District of Columbia","1622","760","0","0","0","0","0","9","0","29","131","114","209","45","111","50","47","0","0","15","0","0","0","0","0","862","0","0","0","0","0","0","0","246","161","160","93","37","17","0","57","44","19","28","0","0","0","0","0"
"1500000US110010105001","Block Group 1, Census Tract 105, District of Columbia, District of Columbia","2081","942","0","31","0","44","0","0","17","24","103","228","66","40","99","33","14","0","88","14","0","23","21","97","0","1139","93","28","59","38","39","75","0","38","51","132","111","75","58","96","103","16","31","14","22","15","21","24","0"
"1500000US110010092031","Block Group 1, Census Tract 92.03, District of Columbia, District of Columbia","1471","500","0","61","12","0","0","31","0","45","19","77","80","60","53","0","10","7","25","0","0","0","0","20","0","971","44","57","110","28","0","0","66","53","126","47","56","114","81","49","36","0","34","18","0","32","8","12","0"
"1500000US110010007012","Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia","1157","623","19","29","0","0","0","0","0","6","56","169","20","0","78","52","15","0","26","16","57","45","35","0","0","534","0","21","30","0","8","0","45","38","91","48","79","0","64","0","0","39","27","0","16","15","13","0","0"
"1500000US110010075032","Block Group 2, Census Tract 75.03, District of Columbia, District of Columbia","1638","753","134","96","54","7","20","13","0","66","43","53","29","67","20","36","49","13","18","0","8","5","6","16","0","885","78","101","67","13","33","0","0","21","153","82","55","23","42","53","30","5","36","17","18","10","19","29","0"
"1500000US110010049021","Block Group 1, Census Tract 49.02, District of Columbia, District of Columbia","646","252","0","52","0","0","0","0","0","0","37","40","46","10","12","11","12","0","32","0","0","0","0","0","0","394","0","22","44","67","0","0","0","35","80","58","10","0","0","28","13","15","0","9","0","0","0","13","0"
"1500000US110010008022","Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia","1318","696","0","56","58","43","15","25","0","9","133","19","24","0","29","82","55","37","6","0","36","12","43","0","14","622","33","0","20","18","0","0","0","45","115","34","25","56","16","76","70","15","12","0","12","24","14","23","14"
"1500000US110010058001","Block Group 1, Census Tract 58, District of Columbia, District of Columbia","1732","941","21","0","0","0","0","0","0","23","71","78","134","80","174","96","76","11","55","46","14","10","36","16","0","791","0","11","0","0","0","0","0","21","62","200","46","92","93","88","72","29","32","0","0","0","29","16","0"
"1500000US110010028012","Block Group 2, Census Tract 28.01, District of Columbia, District of Columbia","2063","1098","107","63","104","56","0","0","8","41","149","66","75","152","45","109","17","0","33","5","19","25","24","0","0","965","77","0","14","0","31","7","2","48","328","109","130","49","29","24","8","38","35","9","0","6","4","14","3"
