"GEO_ID","NAME","B09019_001E","B09019_002E","B09019_003E","B09019_004E","B09019_005E","B09019_006E","B09019_007E","B09019_008E","B09019_009E","B09019_010E","B09019_011E","B09019_012E","B09019_013E","B09019_014E","B09019_015E","B09019_016E","B09019_017E","B09019_018E","B09019_019E","B09019_020E","B09019_021E","B09019_022E","B09019_023E","B09019_024E","B09019_025E","B09019_026E"
"Geography","NAME","Estimate!!Total:","Estimate!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters"
"1500000US110010050022","Block Group 2, Census Tract 50.02, District of Columbia, District of Columbia","1622","1585","1021","513","286","227","508","343","165","125","0","62","64","9","0","0","9","0","0","0","0","0","0","0","304","37"
"1500000US110010105001","Block Group 1, Census Tract 105, District of Columbia, District of Columbia","2081","2081","974","409","220","189","565","283","282","190","0","80","36","644","573","71","0","63","4","0","0","0","0","0","90","0"
"1500000US110010092031","Block Group 1, Census Tract 92.03, District of Columbia, District of Columbia","1471","1462","466","149","10","139","317","113","204","124","0","56","0","548","482","0","66","28","0","0","0","30","34","0","176","9"
"1500000US110010007012","Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia","1157","1157","737","400","315","85","337","211","126","156","13","20","0","133","133","0","0","0","45","53","0","0","0","0","0","0"
"1500000US110010075032","Block Group 2, Census Tract 75.03, District of Columbia, District of Columbia","1638","1606","596","184","142","42","412","109","303","51","7","16","18","717","670","15","32","47","46","18","0","5","64","0","21","32"
"1500000US110010049021","Block Group 1, Census Tract 49.02, District of Columbia, District of Columbia","646","646","284","131","68","63","153","64","89","51","0","0","10","223","223","0","0","0","0","0","0","0","0","0","78","0"
"1500000US110010008022","Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia","1318","1318","438","308","54","254","130","50","80","254","0","9","0","268","268","0","0","0","20","23","0","0","0","0","306","0"
"1500000US110010058001","Block Group 1, Census Tract 58, District of Columbia, District of Columbia","1732","1732","1248","711","444","267","537","415","122","215","23","63","41","48","39","0","9","0","18","0","0","0","0","0","76","0"
"1500000US110010028012","Block Group 2, Census Tract 28.01, District of Columbia, District of Columbia","2063","2031","793","311","127","184","482","222","260","156","16","48","11","508","508","0","0","32","26","6","0","14","128","0","293","32"
"1500000US110010036002","Block Group 2, Census Tract 36, District of Columbia, District of Columbia","1573","1494","646","246","67","179","400","190","210","24","0","96","10","290","290","0","0","0","0","37","0","0","0","0","391","79"
"1500000US110010091021","Block Group 1, Census Tract 91.02, District of Columbia, District of Columbia","809","809","334","158","68","90","176","84","92","106","0","0","0","251","251","0","0","14","0","0","18","0","61","0","25","0"
"1500000US110010068041","Block Group 1, Census Tract 68.04, District of Columbia, District of Columbia","2800","139","36","32","4","28","4","4","0","8","0","0","0","66","66","0","0","0","0","0","0","0","0","0","29","2661"
"1500000US110010076053","Block Group 3, Census Tract 76.05, District of Columbia, District of Columbia","1110","1103","264","66","66","0","198","14","184","23","0","0","0","442","442","0","0","212","30","29","0","0","74","0","29","7"
"1500000US110010007022","Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia","976","976","816","294","248","46","522","468","54","52","0","32","0","0","0","0","0","0","0","0","0","0","0","0","76","0"
"1500000US110010099071","Block Group 1, Census Tract 99.07, District of Columbia, District of Columbia","686","686","331","105","42","63","226","84","142","13","0","0","0","158","158","0","0","0","0","0","0","0","83","0","101","0"
"1500000US110010065002","Block Group 2, Census Tract 65, District of Columbia, District of Columbia","1717","1509","632","356","96","260","276","111","165","270","20","14","8","289","289","0","0","0","9","0","0","0","57","0","210","208"
"1500000US110010106002","Block Group 2, Census Tract 106, District of Columbia, District of Columbia","6909","6909","3478","1596","627","969","1882","975","907","634","81","331","102","734","716","18","0","24","0","0","0","0","31","0","1494","0"
"1500000US110010010011","Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia","832","832","285","158","40","118","127","38","89","195","0","0","0","256","256","0","0","0","0","0","0","0","0","0","96","0"
"1500000US110010103001","Block Group 1, Census Tract 103, District of Columbia, District of Columbia","914","824","282","101","21","80","181","51","130","111","0","9","0","273","257","0","16","61","9","50","0","0","8","0","21","90"
"1500000US110010016004","Block Group 4, Census Tract 16, District of Columbia, District of Columbia","2059","2043","580","372","56","316","208","24","184","367","44","16","0","554","532","22","0","121","58","25","0","21","229","0","28","16"
"1500000US110010059001","Block Group 1, Census Tract 59, District of Columbia, District of Columbia","2511","2089","1194","667","413","254","527","288","239","174","0","87","32","68","68","0","0","0","0","0","0","0","13","0","521","422"
"1500000US110010099072","Block Group 2, Census Tract 99.07, District of Columbia, District of Columbia","1989","1986","830","308","170","138","522","156","366","74","0","100","0","584","552","19","13","123","78","12","0","0","148","0","37","3"
"1500000US110010016002","Block Group 2, Census Tract 16, District of Columbia, District of Columbia","675","666","242","107","27","80","135","49","86","62","19","17","5","168","168","0","0","16","52","0","0","17","0","0","68","9"
"1500000US110010014023","Block Group 3, Census Tract 14.02, District of Columbia, District of Columbia","1160","1160","690","327","197","130","363","233","130","135","10","11","0","173","156","17","0","0","0","24","0","0","8","0","109","0"
"1500000US110010065001","Block Group 1, Census Tract 65, District of Columbia, District of Columbia","1293","1293","553","303","158","145","250","103","147","108","8","36","0","167","159","0","8","104","10","0","0","0","12","0","295","0"
"1500000US110010098041","Block Group 1, Census Tract 98.04, District of Columbia, District of Columbia","1951","1951","696","199","120","79","497","170","327","46","0","39","0","770","741","17","12","163","88","53","0","9","52","0","35","0"
"1500000US110010099022","Block Group 2, Census Tract 99.02, District of Columbia, District of Columbia","2352","2352","772","224","103","121","548","171","377","124","0","35","46","680","680","0","0","326","85","0","3","43","125","0","113","0"
"1500000US110010019021","Block Group 1, Census Tract 19.02, District of Columbia, District of Columbia","1700","1675","459","128","10","118","331","92","239","181","0","11","0","475","451","18","6","142","28","0","0","10","172","0","197","25"
