"NAME","GEO_ID","P043001","P043002","P043003","P043004","P043005","P043006","P043007","P043008","P043009","P043010","P043011","P043012","P043013","P043014","P043015","P043016","P043017","P043018","P043019","P043020","P043021","P043022","P043023","P043024","P043025","P043026","P043027","P043028","P043029","P043030","P043031","P043032","P043033","P043034","P043035","P043036","P043037","P043038","P043039","P043040","P043041","P043042","P043043","P043044","P043045","P043046","P043047","P043048","P043049","P043050","P043051","P043052","P043053","P043054","P043055","P043056","P043057","P043058","P043059","P043060","P043061","P043062","P043063"
"NAME","Geography","Total","Total!!Male","Total!!Male!!Under 18 years","Total!!Male!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)","Total!!Male!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Correctional facilities for adults (101-106)","Total!!Male!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Juvenile facilities (201-203)","Total!!Male!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Nursing facilities/Skilled-nursing facilities (301)","Total!!Male!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Other institutional facilities (401-405)","Total!!Male!!Under 18 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Male!!Under 18 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!College/University student housing (501)","Total!!Male!!Under 18 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Military quarters (601-602)","Total!!Male!!Under 18 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Male!!18 to 64 years","Total!!Male!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)","Total!!Male!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Correctional facilities for adults (101-106)","Total!!Male!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Juvenile facilities (201-203)","Total!!Male!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Nursing facilities/Skilled-nursing facilities (301)","Total!!Male!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Other institutional facilities (401-405)","Total!!Male!!18 to 64 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Male!!18 to 64 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!College/University student housing (501)","Total!!Male!!18 to 64 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Military quarters (601-602)","Total!!Male!!18 to 64 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Male!!65 years and over","Total!!Male!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)","Total!!Male!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Correctional facilities for adults (101-106)","Total!!Male!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Juvenile facilities (201-203)","Total!!Male!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Nursing facilities/Skilled-nursing facilities (301)","Total!!Male!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Other institutional facilities (401-405)","Total!!Male!!65 years and over!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Male!!65 years and over!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!College/University student housing (501)","Total!!Male!!65 years and over!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Military quarters (601-602)","Total!!Male!!65 years and over!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Female","Total!!Female!!Under 18 years","Total!!Female!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)","Total!!Female!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Correctional facilities for adults (101-106)","Total!!Female!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Juvenile facilities (201-203)","Total!!Female!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Nursing facilities/Skilled-nursing facilities (301)","Total!!Female!!Under 18 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Other institutional facilities (401-405)","Total!!Female!!Under 18 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Female!!Under 18 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!College/University student housing (501)","Total!!Female!!Under 18 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Military quarters (601-602)","Total!!Female!!Under 18 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Female!!18 to 64 years","Total!!Female!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)","Total!!Female!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Correctional facilities for adults (101-106)","Total!!Female!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Juvenile facilities (201-203)","Total!!Female!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Nursing facilities/Skilled-nursing facilities (301)","Total!!Female!!18 to 64 years!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Other institutional facilities (401-405)","Total!!Female!!18 to 64 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Female!!18 to 64 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!College/University student housing (501)","Total!!Female!!18 to 64 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Military quarters (601-602)","Total!!Female!!18 to 64 years!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Female!!65 years and over","Total!!Female!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)","Total!!Female!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Correctional facilities for adults (101-106)","Total!!Female!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Juvenile facilities (201-203)","Total!!Female!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Nursing facilities/Skilled-nursing facilities (301)","Total!!Female!!65 years and over!!Institutionalized population (101-106, 201-203, 301, 401-405)!!Other institutional facilities (401-405)","Total!!Female!!65 years and over!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Total!!Female!!65 years and over!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!College/University student housing (501)","Total!!Female!!65 years and over!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Military quarters (601-602)","Total!!Female!!65 years and over!!Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)!!Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)"
"Block Group 3, Census Tract 12, District of Columbia, District of Columbia","1500000US110010012003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 4, Census Tract 12, District of Columbia, District of Columbia","1500000US110010012004","14","14","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","14","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 13.01, District of Columbia, District of Columbia","1500000US110010013011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 13.01, District of Columbia, District of Columbia","1500000US110010013012","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","4","0","0","4","4","0","0","0","0","0","4","0","0","4"
"Block Group 3, Census Tract 13.01, District of Columbia, District of Columbia","1500000US110010013013","95","17","0","0","0","0","0","0","0","0","0","0","2","2","0","0","2","0","0","0","0","0","15","15","0","0","15","0","0","0","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78","78","0","0","78","0","0","0","0","0"
"Block Group 2, Census Tract 14.01, District of Columbia, District of Columbia","1500000US110010014012","4","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 14.02, District of Columbia, District of Columbia","1500000US110010014021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 14.02, District of Columbia, District of Columbia","1500000US110010014022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 3, Census Tract 14.02, District of Columbia, District of Columbia","1500000US110010014023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
