"GEO_ID","NAME","B01001_001E","B01001_002E","B01001_003E","B01001_004E","B01001_005E","B01001_006E","B01001_007E","B01001_008E","B01001_009E","B01001_010E","B01001_011E","B01001_012E","B01001_013E","B01001_014E","B01001_015E","B01001_016E","B01001_017E","B01001_018E","B01001_019E","B01001_020E","B01001_021E","B01001_022E","B01001_023E","B01001_024E","B01001_025E","B01001_026E","B01001_027E","B01001_028E","B01001_029E","B01001_030E","B01001_031E","B01001_032E","B01001_033E","B01001_034E","B01001_035E","B01001_036E","B01001_037E","B01001_038E","B01001_039E","B01001_040E","B01001_041E","B01001_042E","B01001_043E","B01001_044E","B01001_045E","B01001_046E","B01001_047E","B01001_048E","B01001_049E"
"Geography","NAME","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"1500000US240098607011","Block Group 1, Census Tract 8607.01, Calvert County, Maryland","3055","1328","44","61","112","69","14","51","6","48","40","118","71","47","213","93","97","38","6","49","46","62","8","35","0","1727","43","78","61","75","76","72","30","52","123","75","93","96","137","62","165","26","65","31","68","38","154","66","41"
"1500000US240338036133","Block Group 3, Census Tract 8036.13, Prince George's County, Maryland","2113","905","133","10","54","0","0","0","0","31","133","96","51","112","54","122","54","0","9","0","30","16","0","0","0","1208","80","152","84","47","12","31","30","50","80","190","86","57","121","15","86","25","11","16","27","8","0","0","0"
"1500000US240317012162","Block Group 2, Census Tract 7012.16, Montgomery County, Maryland","2173","991","0","15","28","0","0","0","0","27","89","178","126","45","15","81","122","17","0","16","54","12","39","86","41","1182","54","19","0","0","0","0","0","117","127","83","124","15","49","27","30","81","43","0","37","50","117","104","105"
"1500000US240276054011","Block Group 1, Census Tract 6054.01, Howard County, Maryland","2383","1232","102","108","59","54","9","0","0","128","202","126","74","100","75","30","42","40","0","41","30","0","0","8","4","1151","48","118","54","0","27","0","0","45","171","173","73","44","36","56","54","77","126","0","0","0","34","15","0"
"1500000US240338002101","Block Group 1, Census Tract 8002.10, Prince George's County, Maryland","1087","577","69","28","0","5","17","0","13","47","19","67","70","2","38","84","57","0","28","22","2","7","2","0","0","510","66","50","0","0","0","7","0","28","0","79","13","28","27","65","60","22","9","18","0","30","6","0","2"
"1500000US245102708024","Block Group 4, Census Tract 2708.02, Baltimore city, Maryland","1068","241","0","0","0","26","0","0","0","30","21","28","0","0","0","0","0","0","96","17","0","0","0","23","0","827","115","108","0","0","130","0","0","51","117","0","0","0","25","115","22","71","21","0","19","0","33","0","0"
"1500000US240317060083","Block Group 3, Census Tract 7060.08, Montgomery County, Maryland","2594","1370","34","93","148","108","70","46","0","0","11","13","28","89","110","129","106","28","58","50","100","51","60","20","18","1224","24","76","138","38","15","16","0","15","11","18","57","56","139","106","150","27","29","52","84","82","44","21","26"
"1500000US240054085062","Block Group 2, Census Tract 4085.06, Baltimore County, Maryland","2383","1215","167","102","45","6","0","0","0","56","173","106","102","35","214","13","10","13","27","10","8","112","3","11","2","1168","137","0","69","3","107","0","0","111","50","187","36","100","119","5","66","27","29","29","47","21","11","0","14"
"1500000US240338074092","Block Group 2, Census Tract 8074.09, Prince George's County, Maryland","577","299","12","11","0","0","0","0","0","10","8","56","5","6","14","62","28","8","13","5","10","5","23","0","23","278","0","0","9","0","0","0","0","0","0","53","0","0","23","19","45","0","13","0","5","24","34","6","47"
