Household ID,Household Type,Person ID,Age,Sex,Position in Household,Tags
0,family,0,57,0,parent,
0,family,1,55,1,parent,
0,family,2,7,1,child,
1,family,3,61,0,parent,
1,family,4,64,1,parent,
1,family,5,14,0,child,
1,family,6,16,1,child,
2,family,7,44,0,parent,
2,family,8,42,1,parent,
2,family,9,15,0,child,
2,family,10,16,0,child,
2,family,11,16,0,child,
2,family,21300,83,1,grandparent,
3,family,12,17,0,parent,
3,family,13,20,1,parent,
3,family,14,1,1,child,
3,family,15,2,1,child,
3,family,16,0,0,child,
4,family,17,42,0,parent,
4,family,18,37,1,parent,
4,family,19,15,1,child,
4,family,20,17,0,child,
5,family,21,35,0,parent,
5,family,22,36,1,parent,
5,family,23,7,1,child,
5,family,24,8,1,child,
6,family,25,29,0,parent,
6,family,26,30,1,parent,
6,family,27,3,1,child,
7,family,28,34,0,parent,
7,family,29,30,1,parent,
7,family,30,4,1,child,
7,family,31,5,0,child,
7,family,32,1,1,child,
7,family,33,0,0,child,
8,family,34,37,0,parent,
8,family,35,40,1,parent,
8,family,36,4,0,child,
8,family,37,1,0,child,
8,family,20711,64,0,grandparent,
9,family,38,29,0,parent,
9,family,39,25,1,parent,
9,family,40,8,1,child,
9,family,41,6,0,child,
10,family,42,29,0,parent,
10,family,43,32,1,parent,
10,family,44,11,0,child,
11,family,45,43,0,parent,
11,family,46,36,1,parent,
11,family,47,13,0,child,
11,family,48,14,1,child,
12,family,49,56,0,parent,
12,family,50,59,1,parent,
12,family,51,9,0,child,
12,family,52,10,0,child,
13,family,53,46,0,parent,
13,family,54,48,1,parent,
13,family,55,16,0,child,
14,family,56,32,0,parent,
14,family,57,31,1,parent,
14,family,58,12,1,child,
14,family,59,9,0,child,
15,family,60,60,0,parent,
15,family,61,62,1,parent,
15,family,62,4,0,child,
15,family,63,9,0,child,
15,family,64,11,1,child,
15,family,65,6,1,child,
15,family,66,0,0,child,
15,family,67,2,0,child,
16,family,68,33,0,parent,
16,family,69,28,1,parent,
16,family,70,13,1,child,
16,family,71,12,0,child,
17,family,72,51,0,parent,
17,family,73,51,1,parent,
17,family,74,8,1,child,
17,family,75,14,0,child,
17,family,76,10,0,child,
17,family,77,12,0,child,
18,family,78,44,0,parent,
18,family,79,42,1,parent,
18,family,80,11,0,child,
19,family,81,59,0,parent,
19,family,82,60,1,parent,
19,family,83,14,0,child,
19,family,84,11,0,child,
20,family,85,46,0,parent,
20,family,86,53,1,parent,
20,family,87,10,0,child,
